City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Dsc
201,Okitipupa,NG,6.5047,4.7839,73.85,94,95,1.5,overcast clouds
202,Marsa Matruh,EG,31.3525,27.2453,59.2,82,40,8.05,scattered clouds
203,Talnakh,RU,69.4865,88.3972,-23.48,90,21,4.21,few clouds
204,Fagernes,NO,60.9858,9.2324,39.92,88,100,1.41,overcast clouds
205,Estreito,BR,-5.7833,-43.25,71.94,92,27,3.85,scattered clouds
206,Kikwit,CD,-5.041,18.8162,70.0,98,100,1.74,light rain
207,Turayf,SA,31.6725,38.6637,57.45,100,40,9.22,scattered clouds
208,Diego De Almagro,CL,-26.3667,-70.05,64.81,29,5,1.77,clear sky
209,Rabak,SD,13.1809,32.74,74.14,32,3,10.36,clear sky
210,Rundu,NA,-17.9333,19.7667,71.91,66,36,5.61,scattered clouds
211,Edgewater,US,28.9889,-80.9023,72.09,81,0,9.33,clear sky
212,Dikson,RU,73.5069,80.5464,4.66,96,100,16.96,snow
213,Taoudenni,ML,22.6783,-3.9836,75.29,15,100,9.86,overcast clouds
214,Ocean Springs,US,30.4113,-88.8278,57.18,80,75,8.05,moderate rain
215,Lelystad,NL,52.5083,5.475,47.21,93,66,5.99,broken clouds
216,Jega,NG,12.2175,4.3792,69.85,24,37,9.35,scattered clouds
217,Camargo,MX,27.6667,-105.1667,58.14,37,86,6.73,overcast clouds
218,Comandau,RO,45.7667,26.2667,35.6,65,75,4.65,broken clouds
219,Talwara,IN,31.9486,75.8667,64.85,55,1,2.95,clear sky
220,Teguldet,RU,57.3064,88.1667,35.62,98,100,11.52,light rain
221,Carnarvon,AU,-24.8667,113.6333,84.36,38,0,4.9,clear sky
222,Puerto El Triunfo,SV,13.2833,-88.55,77.2,85,96,4.21,overcast clouds
223,Kolondieba,ML,11.0882,-6.8926,73.36,70,60,1.9,broken clouds
224,Matara,LK,5.9485,80.5353,77.22,83,100,6.38,overcast clouds
225,Buenos Aires,AR,-34.6132,-58.3772,69.53,55,0,4.61,clear sky
226,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.24,89,100,1.36,overcast clouds
227,Gibara,CU,21.1097,-76.1317,78.98,79,2,10.45,clear sky
228,Magaria,NE,12.9983,8.9099,66.09,25,100,9.01,overcast clouds
229,Malpe,IN,13.35,74.7167,78.1,78,61,4.88,broken clouds
230,Kostomuksha,RU,64.571,30.5767,32.63,98,100,5.93,overcast clouds
231,Silvan,TR,38.1419,41.0081,32.29,52,0,1.28,clear sky
232,Nailsea,GB,51.4324,-2.7585,54.52,91,100,18.41,light rain
233,Teguise,ES,29.0605,-13.564,70.02,43,0,8.05,clear sky
234,Limenaria,GR,40.6261,24.5786,54.95,67,25,5.32,scattered clouds
235,Valparaiso,CL,-33.0393,-71.6273,64.04,63,0,10.36,clear sky
236,Manta,EC,-0.95,-80.7333,69.58,88,0,8.05,clear sky
237,La Palma,US,33.8464,-118.0467,62.82,64,0,8.05,clear sky
238,Puerto Triunfo,CO,5.8726,-74.6403,72.61,98,97,1.34,overcast clouds
239,Itupiranga,BR,-5.1347,-49.3267,79.12,93,90,2.21,overcast clouds
240,Longyearbyen,SJ,78.2186,15.6401,26.44,74,40,20.71,scattered clouds
241,Fethiye,TR,36.6217,29.1164,46.27,47,92,3.38,overcast clouds
242,Oranzherei,RU,45.8476,47.5663,33.37,64,7,12.64,clear sky
243,Kissidougou,GN,9.1848,-10.0999,68.16,95,63,2.84,broken clouds
244,Hopelchen,MX,19.7667,-89.85,76.1,70,51,4.74,broken clouds
245,Harper,LR,4.375,-7.7169,76.3,88,98,5.41,moderate rain
246,Cockburn Town,TC,21.4612,-71.1419,81.34,72,4,13.18,clear sky
247,Sorland,NO,67.667,12.6934,42.66,71,4,22.41,clear sky
248,Constitucion,CL,-35.3333,-72.4167,57.72,84,0,11.23,clear sky
249,Coro,VE,11.4045,-69.6734,78.37,88,85,10.63,overcast clouds
250,Alice Town,BS,25.7167,-79.3,79.23,68,0,11.79,clear sky
251,Carutapera,BR,-1.195,-46.02,79.25,77,46,9.86,scattered clouds
252,Marawi,PH,7.9986,124.2928,82.89,59,98,3.8,overcast clouds
253,Kalmunai,LK,7.4167,81.8167,78.15,83,100,6.51,light rain
254,Shakawe,BW,-18.3667,21.85,69.33,80,30,4.34,light rain
