City_ID,City,Country,Max Temp,Weather Dsc,Lat,Lng,Hotel Name
237,La Palma,US,62.82,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
238,Puerto Triunfo,CO,72.61,overcast clouds,5.8726,-74.6403,Hotel el Mirador
239,Itupiranga,BR,79.12,overcast clouds,-5.1347,-49.3267,Hotel Panorama
243,Kissidougou,GN,68.16,broken clouds,9.1848,-10.0999,Hôtel Mantis
244,Hopelchen,MX,76.1,broken clouds,19.7667,-89.85,Hotel Jaguar
245,Harper,LR,76.3,moderate rain,4.375,-7.7169,Screensaver
246,Cockburn Town,TC,81.34,clear sky,21.4612,-71.1419,Osprey Beach Hotel
248,Constitucion,CL,57.72,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
249,Coro,VE,78.37,overcast clouds,11.4045,-69.6734,Federal
250,Alice Town,BS,79.23,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
251,Carutapera,BR,79.25,scattered clouds,-1.195,-46.02,Lidera
252,Marawi,PH,82.89,overcast clouds,7.9986,124.2928,Derogongan Residence
253,Kalmunai,LK,78.15,light rain,7.4167,81.8167,VS Villa
254,Shakawe,BW,69.33,light rain,-18.3667,21.85,EdenWood Lodge
255,Marrakesh,MA,62.67,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
256,Mahon,ES,66.76,broken clouds,39.8885,4.2658,ARTIEM Capri
257,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel San Juan
263,Beloha,MG,75.42,broken clouds,-25.1667,45.05,
264,Antalaha,MG,71.64,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
265,Rabo De Peixe,PT,63.28,broken clouds,37.8,-25.5833,Quinta das Giestas
266,Tessalit,ML,71.26,overcast clouds,20.1986,1.0114,
268,Ode,NG,68.77,overcast clouds,7.7899,5.7117,OWONIDADDY HOTEL AND SUITES
269,Faya,SA,55.51,clear sky,18.3851,42.4509,شيلة نسايم
271,Presidencia Roque Saenz Pena,AR,64.49,clear sky,-26.7852,-60.4388,Hotel Gualok
272,Presidente Epitacio,BR,69.75,light rain,-21.7633,-52.1156,Hotel Itaverá
274,Houma,US,60.8,moderate rain,29.5958,-90.7195,Courtyard by Marriott Houma
276,Paita,PE,63.57,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
277,Jaguariaiva,BR,61.75,light rain,-24.2511,-49.7058,San Juan Jaguariaíva
279,Tatawin,TN,58.98,clear sky,32.9297,10.4518,Auberge Alferdaous
280,Zafra,ES,55.27,overcast clouds,38.4167,-6.4167,Parador de Zafra
281,Richards Bay,ZA,67.89,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
282,Alexander City,US,52.48,clear sky,32.944,-85.9539,Hampton Inn Alexander City
283,Juazeiro,BR,73.58,light rain,-9.4117,-40.4986,JB Hotel
285,Viedma,AR,59.49,clear sky,-40.8135,-62.9967,Hotel Cristal
286,Touros,BR,78.22,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
287,Antofagasta,CL,61.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
288,Saint-Joseph,RE,71.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
290,Pointe-Noire,CG,75.27,broken clouds,-4.7761,11.8635,Kactus Lodge
291,Gamba,GA,75.83,overcast clouds,-2.65,10.0,
293,Asyut,EG,59.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
294,Borba,BR,81.27,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
296,Betanzos,ES,61.72,light rain,43.2804,-8.2147,Hotel Garelos Betanzos
298,San Ramon,US,54.82,clear sky,37.7799,-121.978,San Ramon Marriott
299,Umm Lajj,SA,76.77,clear sky,25.0213,37.2685,Moon light Furnished Units
300,Huarmey,PE,64.26,few clouds,-10.0681,-78.1522,Hotel Miramar
301,Kidal,ML,70.05,overcast clouds,18.4411,1.4078,
304,Acari,PE,67.06,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
306,Barcelos,PT,60.94,light rain,41.5388,-8.6151,Hotel Do Terço
307,Andros Town,BS,76.96,clear sky,24.7,-77.7667,CBH
311,Bafata,GW,74.37,broken clouds,12.1667,-14.75,
313,Castro,BR,61.07,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
316,Ferrol,ES,61.32,overcast clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
317,The Valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
318,Le Port,RE,74.25,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
321,Sinnamary,GF,78.51,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
325,Hobyo,SO,79.41,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
326,Calvinia,ZA,59.94,clear sky,-31.4707,19.776,Die Lemoenhuis
327,Giyani,ZA,62.67,clear sky,-23.3025,30.7187,Kulani Country Lodge
330,Kidodi,TZ,68.99,scattered clouds,-7.6036,37.0044,Royal Family Lodge
333,Palatka,US,70.99,scattered clouds,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
334,Danielskuil,ZA,63.27,clear sky,-28.1887,23.5395,Botha'Sig Gastehuis
336,Riyadh,SA,68.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
337,Kharian,PK,60.44,broken clouds,32.8149,73.8636,Sattarpura ستارپورہ
338,Angoche,MZ,74.62,broken clouds,-16.2325,39.9086,Guest House HESADA
339,Diamantino,BR,70.79,overcast clouds,-14.4086,-56.4461,Hotel Delta
340,Segou,ML,78.3,broken clouds,13.4317,-6.2157,Comme chez soi
341,Nueva Gerona,CU,79.27,clear sky,21.8833,-82.8,Casa de la Alegria
342,Columbia,US,51.8,overcast clouds,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
343,Tocopilla,CL,63.1,scattered clouds,-22.092,-70.1979,Hotel Galvarino
345,Ellisras,ZA,63.45,clear sky,-23.6649,27.7443,Lapa le le guesthouse
346,Caravelas,BR,76.01,light rain,-17.7125,-39.2481,Pousada dos Navegantes
347,Rawson,AR,66.47,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
348,Cordoba,AR,70.75,clear sky,-31.4135,-64.1811,Hotel Sussex
