City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Comodoro Rivadavia,AR,2022-11-13 04:43:17,-45.8667,-67.5,46.26,93,0,2.3
208,Yining,CN,2022-11-13 04:43:17,29.0361,114.5636,69.01,50,71,2.42
209,Quartucciu,IT,2022-11-13 04:43:17,39.2519,9.1794,62.01,81,98,2.3
210,Bonthe,SL,2022-11-13 04:43:18,7.5264,-12.505,77.11,85,55,1.03
211,Vestmannaeyjar,IS,2022-11-13 04:43:18,63.4427,-20.2734,46.9,84,52,31.38
212,Blagoyevo,RU,2022-11-13 04:43:19,63.3667,47.9167,33.33,98,100,7.99
213,Adrian,US,2022-11-13 04:43:19,41.8975,-84.0372,34.48,83,75,6.91
214,Cayenne,GF,2022-11-13 04:43:19,4.9333,-52.3333,75.24,94,100,0.0
215,Ostrovnoy,RU,2022-11-13 04:43:20,68.0531,39.5131,33.87,63,100,27.96
216,Baghdad,IQ,2022-11-13 04:39:45,33.3406,44.4009,58.91,100,0,4.61
217,Flekkefjord,NO,2022-11-13 04:43:20,58.2971,6.6607,53.94,96,97,2.42
218,Maceio,BR,2022-11-13 04:43:20,-9.6658,-35.7353,74.64,94,40,3.44
219,Talnakh,RU,2022-11-13 04:43:21,69.4865,88.3972,-25.71,89,11,4.14
220,Olinda,BR,2022-11-13 04:39:37,-8.0089,-34.8553,78.53,73,75,4.61
221,Cerrito,CO,2022-11-13 04:43:21,6.8432,-72.694,53.55,96,100,1.19
222,Sur,OM,2022-11-13 04:43:22,22.5667,59.5289,84.15,34,0,1.23
223,Marienburg,PL,2022-11-13 04:43:22,54.0359,19.0266,53.58,93,59,3.0
224,Pervomayskoye,RU,2022-11-13 04:44:22,43.919,46.7102,49.6,62,10,17.29
225,Faya,SA,2022-11-13 04:44:22,18.3851,42.4509,57.31,59,0,0.83
226,Nalut,LY,2022-11-13 04:44:23,30.3333,10.85,56.44,51,0,7.2
227,Salalah,OM,2022-11-13 04:44:23,17.0151,54.0924,77.09,50,0,2.3
228,Estelle,US,2022-11-13 04:44:23,29.8458,-90.1067,48.2,73,20,13.8
229,Neuquen,AR,2022-11-13 04:42:56,-38.9516,-68.0591,53.49,94,40,3.44
230,Ancud,CL,2022-11-13 04:44:24,-41.8697,-73.8203,50.68,94,99,5.64
231,Tirumullaivasal,IN,2022-11-13 04:44:24,11.2333,79.8333,81.9,75,100,7.94
